from_stop_id,to_stop_id,transfer_type,min_transfer_time
4881,9129,2,480
4881,4881,2,120
4881,10399,2,120
4881,3430,2,120
4881,10400,2,60
4881,97,0,
4881,8041,2,420
4881,4495,2,480
534,4496,2,300
534,8535,0,
534,8040,2,300
534,9128,2,300
8737,8701,0,
8683,8697,0,
8683,8683,0,
8683,10017,0,
8683,8749,0,
8683,8758,0,
2860,2955,0,
2860,2917,0,
2917,3024,0,
8853,8735,0,
8710,2881,2,120
8710,2899,2,120
8710,8710,2,120
3515,3594,0,
3515,3565,0,
3517,3412,0,
3443,8818,0,
3443,3411,0,
8818,3443,0,
8820,8847,0,
8820,3518,0,
8685,8690,2,120
8685,8688,2,120
8685,8676,2,120
8685,8672,2,120
8685,8656,2,120
8685,8689,2,120
8685,8657,2,120
8685,8687,2,120
8685,8746,0,
8685,8755,0,
8685,8691,0,
8561,8575,2,120
8561,8573,2,120
8561,8574,2,120
8561,8552,2,120
8561,8578,0,
8561,8577,0,
8561,10564,2,120
10067,10067,0,
10067,10068,0,
10067,10440,2,420
3411,3443,0,
3411,8818,0,
3411,3411,0,
3418,3554,0,
3419,3361,0,
3423,3423,0,
3423,3637,0,
10068,10067,0,
10068,10068,0,
10068,3608,2,420
10068,10440,2,480
3608,10067,2,480
3608,10068,2,420
4560,4360,2,360
4560,4403,2,360
4567,4427,2,300
4567,4500,2,300
4471,4210,0,
4471,4242,2,120
4471,4475,2,120
4471,4459,2,120
4471,4568,2,120
4471,10867,2,120
4471,8037,2,120
4329,4427,2,300
4329,4500,2,300
4569,4360,0,
4569,4403,0,
4579,4579,0,
4407,4537,0,
8605,4355,0,
8605,9138,0,
4412,4599,2,300
4448,4448,0,
4489,9543,0,
4489,4464,2,300
4489,4489,0,
3334,3394,2,120
3334,3334,0,
3334,3533,2,120
3334,3769,2,120
3334,3204,2,120
3334,3053,2,120
3334,3927,2,120
3334,3904,2,120
3334,3195,2,120
3334,3906,2,120
3334,3067,2,120
3334,8021,2,120
3334,8998,2,120
3334,8032,2,120
3334,7643,2,120
3479,3479,0,
3064,3825,0,
3065,3055,2,360
3066,9018,2,420
3085,3037,0,
3085,3085,0,
3085,3402,0,
3092,3030,2,360
3092,3092,0,
3092,3242,0,
3092,3156,0,
2807,2791,0,
1457,1457,0,
1457,1416,0,
1457,2788,0,
2741,2741,0,
2553,1461,0,
2553,1410,0,
8847,8820,0,
8847,3410,0,
3410,8847,0,
3410,3518,0,
3449,3594,0,
3449,3565,0,
3532,3386,0,
3476,3487,0,
3533,3394,2,120
3533,3334,2,120
3533,3769,2,120
3533,3204,2,120
3533,3053,2,120
3533,3927,2,120
3533,3904,2,120
3533,3195,2,120
3533,3906,2,120
3533,3067,2,120
3533,8021,2,120
3533,8998,2,120
3533,8032,2,120
3533,7643,2,120
4143,4163,2,120
4143,4067,2,120
4143,452,2,120
4143,4143,2,120
4143,4119,2,120
4143,1761,2,120
4143,4381,2,120
4143,4474,2,120
4143,451,2,120
4143,1775,2,120
4143,10873,2,120
4154,4154,0,
4440,4440,0,
4599,4599,0,
4599,4447,0,
4414,4414,0,
4414,4445,0,
4414,4353,0,
4346,4419,2,360
4346,4347,2,600
4420,4342,2,420
4347,4347,0,
4447,4534,2,360
3133,3133,0,
3133,3548,0,
3133,3613,0,
3133,3140,0,
3656,3656,0,
3656,2348,0,
3661,3661,0,
3661,3628,0,
3661,2513,0,
2325,2325,0,
2325,11204,0,
2325,2264,0,
2325,2444,0,
11682,1442,0,
11682,1430,0,
1442,11682,0,
1442,1442,0,
1442,2263,0,
1442,1430,0,
1442,3663,0,
1443,1443,0,
10915,10915,0,
10915,3535,2,120
10915,2252,2,120
10915,2203,2,120
10915,2397,2,120
10915,10423,0,
10915,8052,0,
10915,8065,0,
10915,5989,2,120
10915,6984,2,120
8676,8690,2,120
8676,8688,2,120
8676,8685,2,120
8676,8672,2,120
8676,8656,2,120
8676,8689,2,120
8676,8657,2,120
8676,8687,2,120
8676,8746,0,
8676,8755,0,
8676,8691,0,
3593,3515,0,
3594,3449,0,
3624,2189,0,
3624,2646,0,
4475,4210,0,
4475,4242,0,
4475,4471,2,120
4475,4459,2,120
4475,4568,2,120
4475,10867,2,120
4475,8037,2,120
4218,4371,0,
4218,4390,0,
4016,4053,0,
4016,4054,0,
10882,10879,0,
10882,10882,0,
10882,4228,0,
10882,4018,0,
4237,10867,2,120
4239,4231,0,
4228,10879,0,
4228,10882,0,
4228,4228,0,
4228,4018,0,
4534,4599,2,360
4355,8605,0,
4355,4355,0,
4355,9138,0,
4551,4551,0,
3536,2189,0,
3536,2646,0,
1429,1443,0,
1429,1444,0,
1429,1429,0,
1429,2326,0,
2263,1442,0,
2263,2263,0,
2263,1430,0,
2263,2264,0,
2263,2444,0,
11204,11204,0,
11204,2264,0,
11204,2444,0,
2344,2344,0,
2344,3620,0,
2344,9506,0,
3548,3133,0,
3548,3613,0,
3548,3140,0,
8575,8561,2,120
8575,8573,2,120
8575,8574,2,120
8575,8552,2,120
8575,8578,0,
8575,8577,0,
8575,10564,2,120
3613,3133,0,
3613,3140,0,
3619,3542,0,
3619,3619,0,
3619,2345,0,
3620,2344,0,
3620,3620,0,
3631,9507,0,
2347,2347,0,
3139,3134,0,
3139,3139,0,
1423,2472,0,
1423,8644,0,
1430,11682,0,
1430,2263,0,
1430,3663,0,
11507,11517,0,
11507,11506,0,
11507,11516,0,
11507,8053,0,
11507,8064,0,
11507,9948,0,
11507,10743,0,
11507,10742,0,
1451,2472,0,
2598,1461,0,
2598,1410,0,
1461,2553,0,
1461,2598,0,
1469,1557,0,
2778,3345,2,120
2778,2752,2,120
2778,2823,2,120
2778,1471,2,120
2778,8750,0,
2778,8759,0,
4061,4224,0,
4062,4222,2,300
4065,4371,0,
4065,4391,0,
4002,3995,0,
2222,2222,0,
2222,2165,2,360
2222,2166,0,
2708,2708,0,
2717,2833,2,120
2717,2671,2,120
2717,2761,2,120
2717,2414,0,
2717,2523,2,120
2717,1173,2,120
2717,2016,2,120
2717,10203,2,120
2717,8049,0,
2717,8068,0,
1404,1404,0,
1410,2553,0,
1410,2598,0,
1411,1460,0,
1411,1411,0,
1413,1413,0,
3242,3030,0,
3242,3092,2,360
3242,3156,0,
3244,3579,2,300
8672,8690,2,120
8672,8688,2,120
8672,8685,2,120
8672,8676,2,120
8672,8672,2,120
8672,8656,0,
8672,8689,2,120
8672,8657,2,120
8672,8687,2,120
8672,8746,0,
8672,8755,0,
8672,8691,0,
3518,8820,0,
3518,3410,0,
8573,8561,2,120
8573,8575,2,120
8573,8574,0,
8573,8578,0,
8573,8577,0,
3698,3698,0,
3698,3681,2,360
3698,9533,2,360
3719,10567,0,
3721,3721,0,
3723,10569,0,
3723,10568,0,
4119,4163,2,120
4119,4067,2,120
4119,452,2,120
4119,4143,2,120
4119,1761,2,120
4119,4381,2,120
4119,4474,2,120
4119,451,2,120
4119,1775,2,120
4119,10873,2,120
4003,4003,0,
1858,1858,0,
1858,1394,0,
2939,1863,0,
2941,2847,0,
2941,2928,0,
2787,1463,0,
1391,1479,0,
1391,1391,0,
1391,2769,0,
3565,3515,0,
3565,3449,0,
955,737,0,
955,955,0,
955,742,0,
955,678,0,
959,959,0,
959,1046,0,
962,965,0,
962,962,0,
1387,2742,0,
1387,1387,0,
1387,1482,0,
1387,1709,2,120
1387,963,2,300
1387,10415,2,120
1863,1863,0,
1866,1866,0,
3177,3177,0,
3178,3220,0,
3179,3179,0,
